Week,jquery mobile,sencha touch,lungojs,kendo ui
2008-01-06 - 2008-01-12,0,0,0,0
2008-01-13 - 2008-01-19,0,0,0,0
2008-01-20 - 2008-01-26,0,0,0,0
2008-01-27 - 2008-02-02,0,0,0,0
2008-02-03 - 2008-02-09,0,0,0,0
2008-02-10 - 2008-02-16,0,0,0,0
2008-02-17 - 2008-02-23,0,0,0,0
2008-02-24 - 2008-03-01,0,0,0,0
2008-03-02 - 2008-03-08,0,0,0,0
2008-03-09 - 2008-03-15,0,0,0,0
2008-03-16 - 2008-03-22,0,0,0,0
2008-03-23 - 2008-03-29,0,0,0,0
2008-03-30 - 2008-04-05,0,0,0,0
2008-04-06 - 2008-04-12,0,0,0,0
2008-04-13 - 2008-04-19,0,0,0,0
2008-04-20 - 2008-04-26,0,0,0,0
2008-04-27 - 2008-05-03,0,0,0,0
2008-05-04 - 2008-05-10,0,0,0,0
2008-05-11 - 2008-05-17,0,0,0,0
2008-05-18 - 2008-05-24,0,0,0,0
2008-05-25 - 2008-05-31,0,0,0,0
2008-06-01 - 2008-06-07,0,0,0,0
2008-06-08 - 2008-06-14,0,0,0,0
2008-06-15 - 2008-06-21,0,0,0,0
2008-06-22 - 2008-06-28,0,0,0,0
2008-06-29 - 2008-07-05,0,0,0,0
2008-07-06 - 2008-07-12,0,0,0,0
2008-07-13 - 2008-07-19,0,0,0,0
2008-07-20 - 2008-07-26,0,0,0,0
2008-07-27 - 2008-08-02,0,0,0,0
2008-08-03 - 2008-08-09,0,0,0,0
2008-08-10 - 2008-08-16,0,0,0,0
2008-08-17 - 2008-08-23,0,0,0,0
2008-08-24 - 2008-08-30,0,0,0,0
2008-08-31 - 2008-09-06,0,0,0,0
2008-09-07 - 2008-09-13,0,0,0,0
2008-09-14 - 2008-09-20,0,0,0,0
2008-09-21 - 2008-09-27,0,0,0,0
2008-09-28 - 2008-10-04,0,0,0,0
2008-10-05 - 2008-10-11,0,0,0,0
2008-10-12 - 2008-10-18,0,0,0,0
2008-10-19 - 2008-10-25,0,0,0,0
2008-10-26 - 2008-11-01,0,0,0,0
2008-11-02 - 2008-11-08,0,0,0,0
2008-11-09 - 2008-11-15,0,0,0,0
2008-11-16 - 2008-11-22,0,0,0,0
2008-11-23 - 2008-11-29,0,0,0,0
2008-11-30 - 2008-12-06,0,0,0,0
2008-12-07 - 2008-12-13,0,0,0,0
2008-12-14 - 2008-12-20,0,0,0,0
2008-12-21 - 2008-12-27,0,0,0,0
2008-12-28 - 2009-01-03,0,0,0,0
2009-01-04 - 2009-01-10,0,0,0,0
2009-01-11 - 2009-01-17,0,0,0,0
2009-01-18 - 2009-01-24,0,0,0,0
2009-01-25 - 2009-01-31,1,0,0,0
2009-02-01 - 2009-02-07,1,0,0,0
2009-02-08 - 2009-02-14,1,0,0,0
2009-02-15 - 2009-02-21,1,0,0,0
2009-02-22 - 2009-02-28,1,0,0,0
2009-03-01 - 2009-03-07,1,0,0,0
2009-03-08 - 2009-03-14,1,0,0,0
2009-03-15 - 2009-03-21,1,0,0,0
2009-03-22 - 2009-03-28,1,0,0,0
2009-03-29 - 2009-04-04,1,0,0,0
2009-04-05 - 2009-04-11,2,0,0,0
2009-04-12 - 2009-04-18,0,0,0,0
2009-04-19 - 2009-04-25,0,0,0,0
2009-04-26 - 2009-05-02,0,0,0,0
2009-05-03 - 2009-05-09,0,0,0,0
2009-05-10 - 2009-05-16,0,0,0,0
2009-05-17 - 2009-05-23,0,0,0,0
2009-05-24 - 2009-05-30,0,0,0,0
2009-05-31 - 2009-06-06,0,0,0,0
2009-06-07 - 2009-06-13,0,0,0,0
2009-06-14 - 2009-06-20,0,0,0,0
2009-06-21 - 2009-06-27,0,0,0,0
2009-06-28 - 2009-07-04,0,0,0,0
2009-07-05 - 2009-07-11,0,0,0,0
2009-07-12 - 2009-07-18,0,0,0,0
2009-07-19 - 2009-07-25,0,0,0,0
2009-07-26 - 2009-08-01,1,0,0,0
2009-08-02 - 2009-08-08,1,0,0,0
2009-08-09 - 2009-08-15,1,0,0,0
2009-08-16 - 2009-08-22,1,0,0,0
2009-08-23 - 2009-08-29,1,0,0,0
2009-08-30 - 2009-09-05,1,0,0,0
2009-09-06 - 2009-09-12,1,0,0,0
2009-09-13 - 2009-09-19,2,0,0,0
2009-09-20 - 2009-09-26,1,0,0,0
2009-09-27 - 2009-10-03,1,0,0,0
2009-10-04 - 2009-10-10,2,0,0,0
2009-10-11 - 2009-10-17,1,0,0,0
2009-10-18 - 2009-10-24,1,0,0,0
2009-10-25 - 2009-10-31,1,0,0,0
2009-11-01 - 2009-11-07,1,0,0,0
2009-11-08 - 2009-11-14,1,0,0,0
2009-11-15 - 2009-11-21,2,0,0,0
2009-11-22 - 2009-11-28,2,0,0,0
2009-11-29 - 2009-12-05,1,0,0,0
2009-12-06 - 2009-12-12,2,0,0,0
2009-12-13 - 2009-12-19,2,0,0,0
2009-12-20 - 2009-12-26,1,0,0,0
2009-12-27 - 2010-01-02,1,0,0,0
2010-01-03 - 2010-01-09,2,0,0,0
2010-01-10 - 2010-01-16,2,0,0,0
2010-01-17 - 2010-01-23,1,0,0,0
2010-01-24 - 2010-01-30,1,0,0,0
2010-01-31 - 2010-02-06,2,0,0,0
2010-02-07 - 2010-02-13,2,0,0,0
2010-02-14 - 2010-02-20,2,0,0,0
2010-02-21 - 2010-02-27,2,0,0,0
2010-02-28 - 2010-03-06,1,0,0,0
2010-03-07 - 2010-03-13,2,0,0,0
2010-03-14 - 2010-03-20,2,0,0,0
2010-03-21 - 2010-03-27,2,0,0,0
2010-03-28 - 2010-04-03,3,0,0,0
2010-04-04 - 2010-04-10,2,0,0,0
2010-04-11 - 2010-04-17,3,0,0,0
2010-04-18 - 2010-04-24,2,0,0,0
2010-04-25 - 2010-05-01,2,0,0,0
2010-05-02 - 2010-05-08,2,0,0,0
2010-05-09 - 2010-05-15,2,0,0,0
2010-05-16 - 2010-05-22,3,0,0,0
2010-05-23 - 2010-05-29,3,0,0,0
2010-05-30 - 2010-06-05,3,0,0,0
2010-06-06 - 2010-06-12,3,0,0,0
2010-06-13 - 2010-06-19,3,4,0,0
2010-06-20 - 2010-06-26,3,6,0,0
2010-06-27 - 2010-07-03,4,4,0,0
2010-07-04 - 2010-07-10,2,4,0,0
2010-07-11 - 2010-07-17,3,5,0,0
2010-07-18 - 2010-07-24,2,7,0,0
2010-07-25 - 2010-07-31,3,5,0,0
2010-08-01 - 2010-08-07,4,5,0,0
2010-08-08 - 2010-08-14,4,4,0,0
2010-08-15 - 2010-08-21,13,6,0,0
2010-08-22 - 2010-08-28,9,4,0,0
2010-08-29 - 2010-09-04,7,6,0,0
2010-09-05 - 2010-09-11,8,5,0,0
2010-09-12 - 2010-09-18,7,6,0,0
2010-09-19 - 2010-09-25,7,6,0,0
2010-09-26 - 2010-10-02,9,5,0,0
2010-10-03 - 2010-10-09,7,8,0,0
2010-10-10 - 2010-10-16,13,6,0,0
2010-10-17 - 2010-10-23,31,7,0,0
2010-10-24 - 2010-10-30,21,8,0,0
2010-10-31 - 2010-11-06,17,5,0,0
2010-11-07 - 2010-11-13,21,6,0,0
2010-11-14 - 2010-11-20,20,10,0,0
2010-11-21 - 2010-11-27,18,8,0,0
2010-11-28 - 2010-12-04,20,9,0,0
2010-12-05 - 2010-12-11,22,9,0,0
2010-12-12 - 2010-12-18,20,10,0,0
2010-12-19 - 2010-12-25,19,9,0,0
2010-12-26 - 2011-01-01,17,7,0,0
2011-01-02 - 2011-01-08,22,9,0,0
2011-01-09 - 2011-01-15,23,11,0,0
2011-01-16 - 2011-01-22,24,8,0,0
2011-01-23 - 2011-01-29,24,11,0,0
2011-01-30 - 2011-02-05,28,11,0,0
2011-02-06 - 2011-02-12,31,11,0,0
2011-02-13 - 2011-02-19,34,13,0,0
2011-02-20 - 2011-02-26,35,11,0,0
2011-02-27 - 2011-03-05,33,10,0,0
2011-03-06 - 2011-03-12,34,11,0,0
2011-03-13 - 2011-03-19,35,11,0,0
2011-03-20 - 2011-03-26,37,15,0,0
2011-03-27 - 2011-04-02,38,16,0,0
2011-04-03 - 2011-04-09,38,15,0,0
2011-04-10 - 2011-04-16,42,17,0,0
2011-04-17 - 2011-04-23,43,15,0,0
2011-04-24 - 2011-04-30,42,17,0,0
2011-05-01 - 2011-05-07,44,14,0,0
2011-05-08 - 2011-05-14,47,15,0,0
2011-05-15 - 2011-05-21,43,16,0,0
2011-05-22 - 2011-05-28,46,17,0,0
2011-05-29 - 2011-06-04,48,16,0,0
2011-06-05 - 2011-06-11,46,17,0,0
2011-06-12 - 2011-06-18,49,20,0,0
2011-06-19 - 2011-06-25,60,21,0,0
2011-06-26 - 2011-07-02,59,16,0,0
2011-07-03 - 2011-07-09,57,19,0,0
2011-07-10 - 2011-07-16,57,19,0,0
2011-07-17 - 2011-07-23,57,22,0,0
2011-07-24 - 2011-07-30,58,20,0,0
2011-07-31 - 2011-08-06,62,22,0,0
2011-08-07 - 2011-08-13,55,23,0,0
2011-08-14 - 2011-08-20,56,22,0,0
2011-08-21 - 2011-08-27,60,21,0,0
2011-08-28 - 2011-09-03,59,20,0,0
2011-09-04 - 2011-09-10,58,20,0,1
2011-09-11 - 2011-09-17,66,23,0,1
2011-09-18 - 2011-09-24,65,22,0,1
2011-09-25 - 2011-10-01,67,25,0,1
2011-10-02 - 2011-10-08,66,22,0,1
2011-10-09 - 2011-10-15,67,24,0,1
2011-10-16 - 2011-10-22,70,23,0,1
2011-10-23 - 2011-10-29,67,24,0,1
2011-10-30 - 2011-11-05,73,24,0,1
2011-11-06 - 2011-11-12,71,24,0,2
2011-11-13 - 2011-11-19,80,23,0,1
2011-11-20 - 2011-11-26,80,25,0,3
2011-11-27 - 2011-12-03,77,27,0,4
2011-12-04 - 2011-12-10,78,23,0,4
2011-12-11 - 2011-12-17,82,23,0,3
2011-12-18 - 2011-12-24,76,24,1,5
2011-12-25 - 2011-12-31,57,18,1,3
2012-01-01 - 2012-01-07,70,22,1,3
2012-01-08 - 2012-01-14,81,24,1,4
2012-01-15 - 2012-01-21,84,21,1,4
2012-01-22 - 2012-01-28,85,22,1,5
2012-01-29 - 2012-02-04,84,23,1,5
2012-02-05 - 2012-02-11,90,24,1,6
2012-02-12 - 2012-02-18,89,22,1,4
2012-02-19 - 2012-02-25,87,26,1,5
2012-02-26 - 2012-03-03,92,23,1,6
2012-03-04 - 2012-03-10,91,36,1,6
2012-03-11 - 2012-03-17,94,30,1,6
2012-03-18 - 2012-03-24,94,30,1,7
2012-03-25 - 2012-03-31,87,28,1,6
2012-04-01 - 2012-04-07,88,28,1,6
2012-04-08 - 2012-04-14,90,30,1,7
2012-04-15 - 2012-04-21,91,28,1,6
2012-04-22 - 2012-04-28,91,29,1,6
2012-04-29 - 2012-05-05,87,27,0,6
2012-05-06 - 2012-05-12,99,30,0,5
2012-05-13 - 2012-05-19,90,29,0,7
2012-05-20 - 2012-05-26,98,28,0,7
2012-05-27 - 2012-06-02,90,26,0,6
2012-06-03 - 2012-06-09,99,25,0,6
2012-06-10 - 2012-06-16,100,25,0,7
2012-06-17 - 2012-06-23,95,26,0,8
2012-06-24 - 2012-06-30,91,25,0,8
2012-07-01 - 2012-07-07,93,24,0,7
2012-07-08 - 2012-07-14,89,24,1,10
2012-07-15 - 2012-07-21,94,23,1,8
2012-07-22 - 2012-07-28,92,23,1,9
2012-07-29 - 2012-08-04,94,22,1,7
2012-08-05 - 2012-08-11,90,23,1,9
2012-08-12 - 2012-08-18,90,23,1,9
2012-08-19 - 2012-08-25,97,25,1,10
2012-08-26 - 2012-09-01,89,25,1,11
2012-09-02 - 2012-09-08,92,21,0,11
2012-09-09 - 2012-09-15,90,23,0,12
2012-09-16 - 2012-09-22,93,24,0,10
2012-09-23 - 2012-09-29,94,22,0,12
2012-09-30 - 2012-10-06,91,21,0,12
2012-10-07 - 2012-10-13,96,23,0,12
2012-10-14 - 2012-10-20,93,25,0,13
2012-10-21 - 2012-10-27,85,21,0,12
2012-10-28 - 2012-11-03,82,21,1,10
2012-11-04 - 2012-11-10,88,20,1,13
2012-11-11 - 2012-11-17,87,19,1,13
2012-11-18 - 2012-11-24,84,19,0,12
2012-11-25 - 2012-12-01,85,20,0,11
2012-12-02 - 2012-12-08,89,20,0,13
2012-12-09 - 2012-12-15,85,19,0,13
2012-12-16 - 2012-12-22,84,23,0,13
2012-12-23 - 2012-12-29,62,18,0,9
2012-12-30 - 2013-01-05,64,15,0,10
2013-01-06 - 2013-01-12,85,17,0,13
2013-01-13 - 2013-01-19,84,21,0,13
2013-01-20 - 2013-01-26,87,22,0,13
2013-01-27 - 2013-02-02,90,19,0,13
2013-02-03 - 2013-02-09,92,17,0,13
2013-02-10 - 2013-02-16,90,20,0,14
2013-02-17 - 2013-02-23,97,21,0,14
2013-02-24 - 2013-03-02,95,20,1,17
2013-03-03 - 2013-03-09,91,22,0,17
2013-03-10 - 2013-03-16,96,21,0,14
2013-03-17 - 2013-03-23,93,22,0,16
2013-03-24 - 2013-03-30,95,18,0,13
2013-03-31 - 2013-04-06,88,19,0,15
2013-04-07 - 2013-04-13,99,21,1,15
2013-04-14 - 2013-04-20,96,20,0,16
2013-04-21 - 2013-04-27,94,19,0,15
2013-04-28 - 2013-05-04,90,18,0,16
2013-05-05 - 2013-05-11,95,20,0,15
2013-05-12 - 2013-05-18, , , , 
2013-05-19 - 2013-05-25, , , , 
2013-05-26 - 2013-06-01, , , , 